[GIN] 2018/08/15 - 11:46:21 | 200 |   34.469342ms |             ::1 | GET      /metadata/categorytree
[GIN] 2018/08/15 - 11:46:25 | 200 |    5.328265ms |             ::1 | GET      /metadata/widget/findWidget?fieldName=widget_name&keyWord=%E7%AC%AC%E4%B8%89%E6%96%B9%E9%85%8D%E4%BB%B6%E9%94%80%E5%94%AE%E6%98%8E%E7%BB%86%EF%BC%88top20%EF%BC%89
[GIN] 2018/08/15 - 11:46:25 | 200 |    4.041611ms |             ::1 | GET      /metadata/dataset?id=68
[GIN] 2018/08/15 - 11:46:25 | 200 |       8.741µs |             ::1 | OPTIONS  /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 11:46:26 | 200 |     587.165µs |             ::1 | POST     /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:02:44 | 200 |   20.954262ms |             ::1 | GET      /metadata/widget/findWidget?fieldName=widget_name&keyWord=MOP%E5%90%84%E6%B8%A0%E9%81%93%E9%94%80%E5%94%AE%E9%A2%9D%E5%88%86%E5%B8%83
[GIN] 2018/08/15 - 14:02:44 | 200 |    6.665749ms |             ::1 | GET      /metadata/dataset?id=66
[GIN] 2018/08/15 - 14:02:45 | 200 |      11.423µs |             ::1 | OPTIONS  /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:02:45 | 200 |     197.862µs |             ::1 | POST     /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:02:52 | 200 |    5.680676ms |             ::1 | GET      /metadata/widget/findWidget?fieldName=widget_name&keyWord=%E8%87%AA%E8%90%A5%E9%85%8D%E4%BB%B6%E9%94%80%E5%94%AE%E6%98%8E%E7%BB%86%EF%BC%88top20%EF%BC%89
[GIN] 2018/08/15 - 14:02:52 | 200 |     3.54055ms |             ::1 | GET      /metadata/dataset?id=68
[GIN] 2018/08/15 - 14:02:52 | 200 |       5.006µs |             ::1 | OPTIONS  /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:02:52 | 200 |     430.818µs |             ::1 | POST     /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:02:56 | 200 |    7.510217ms |             ::1 | GET      /metadata/widget/findWidget?fieldName=widget_name&keyWord=%E5%95%86%E5%9F%8E%E9%A6%96%E9%A1%B5mall%E6%95%B4%E4%BD%93%E6%B5%81%E9%87%8F%E8%B5%B0%E5%8A%BF%E5%9B%BE
[GIN] 2018/08/15 - 14:02:56 | 200 |    3.830528ms |             ::1 | GET      /metadata/dataset?id=67
[GIN] 2018/08/15 - 14:02:56 | 200 |      32.182µs |             ::1 | OPTIONS  /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:02:56 | 200 |     243.741µs |             ::1 | POST     /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:02:59 | 200 |    6.962769ms |             ::1 | GET      /metadata/widget/findWidget?fieldName=widget_name&keyWord=detail%E9%A1%B5%E9%9D%A2%E8%BD%AC%E5%8C%96%E7%8E%87
[GIN] 2018/08/15 - 14:02:59 | 200 |    3.995064ms |             ::1 | GET      /metadata/dataset?id=68
[GIN] 2018/08/15 - 14:02:59 | 200 |       7.314µs |             ::1 | OPTIONS  /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:02:59 | 200 |     410.915µs |             ::1 | POST     /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:03:02 | 200 |     6.72461ms |             ::1 | GET      /metadata/widget/findWidget?fieldName=widget_name&keyWord=%E9%85%8D%E4%BB%B6%E6%A6%82%E5%86%B5%EF%BC%88%E5%90%AB%E8%87%AA%E6%9C%89%E9%85%8D%E4%BB%B6%E5%92%8CMOP%E9%85%8D%E4%BB%B6%EF%BC%89
[GIN] 2018/08/15 - 14:03:03 | 200 |    7.120787ms |             ::1 | GET      /metadata/widget/findWidget?fieldName=widget_name&keyWord=%E5%90%84%E5%93%81%E7%89%8C%E9%94%80%E5%94%AE%E7%BB%9F%E8%AE%A1
[GIN] 2018/08/15 - 14:03:03 | 200 |    2.927332ms |             ::1 | GET      /metadata/dataset?id=68
[GIN] 2018/08/15 - 14:03:03 | 200 |      10.231µs |             ::1 | OPTIONS  /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:03:03 | 200 |     341.245µs |             ::1 | POST     /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:03:16 | 200 |    7.834222ms |             ::1 | GET      /metadata/widget/findWidget?fieldName=widget_name&keyWord=%E7%AC%AC%E4%B8%89%E6%96%B9%E9%85%8D%E4%BB%B6%E9%94%80%E5%94%AE%E6%98%8E%E7%BB%86%EF%BC%88top20%EF%BC%89
[GIN] 2018/08/15 - 14:03:16 | 200 |    3.627113ms |             ::1 | GET      /metadata/dataset?id=68
[GIN] 2018/08/15 - 14:03:16 | 200 |       5.296µs |             ::1 | OPTIONS  /metadata/dataprovider/queryAggSql
[GIN] 2018/08/15 - 14:03:16 | 200 |     261.079µs |             ::1 | POST     /metadata/dataprovider/queryAggSql
